group_id,pred_choice,conf,best_time,pred_time,baseline_time,regret_strict,speedup_vs_baseline_strict,regret,speedup_vs_baseline
443,vec_pragma,0.709165096282959,2e-06,2e-06,3e-06,1.0,1.5,1.0,1.4997501249375313
444,vec_pragma,0.4773090779781341,2e-06,2e-06,3e-06,1.0,1.5,1.0,1.4997501249375313
445,vec_pragma,0.4818412363529205,2e-06,2e-06,2.5e-06,1.0,1.2500000000000002,1.0,1.2498750624687658
446,vec_pragma,0.484103262424469,2e-06,2e-06,3e-06,1.0,1.5,1.0,1.4997501249375313
447,vec_pragma,0.3643903732299804,2e-06,2e-06,3e-06,1.0,1.5,1.0,1.4997501249375313
448,vec_pragma,0.3680889308452606,2e-06,2e-06,2.5e-06,1.0,1.2500000000000002,1.0,1.2498750624687658
449,vec_pragma,0.3699873983860016,2e-06,2e-06,3e-06,1.0,1.5,1.0,1.4997501249375313
450,vec_pragma,0.54534512758255,2e-06,2e-06,3e-06,1.0,1.5,1.0,1.4997501249375313
451,vec_pragma,0.5514156222343445,2e-06,2e-06,3e-06,1.0,1.5,1.0,1.4997501249375313
452,vec_pragma,0.5544604063034058,2e-06,2e-06,3e-06,1.0,1.5,1.0,1.4997501249375313
453,vec_pragma,0.3084979951381683,2e-06,2e-06,3e-06,1.0,1.5,1.0,1.4997501249375313
454,vec_pragma,0.3126223981380462,2e-06,2e-06,3e-06,1.0,1.5,1.0,1.4997501249375313
455,vec_pragma,0.314711183309555,2e-06,2e-06,3e-06,1.0,1.5,1.0,1.4997501249375313
456,tile,0.3517886698246002,2e-06,3e-06,3e-06,1.5,1.0,1.4997501249375313,1.0
457,tile,0.3502951562404632,2e-06,3e-06,3e-06,1.5,1.0,1.4997501249375313,1.0
458,tile,0.3494658768177032,2e-06,3e-06,3e-06,1.5,1.0,1.4997501249375313,1.0
459,vec_pragma,0.9191038012504578,2e-06,2e-06,6.5e-06,1.0,3.25,1.0,3.24887556221889
460,vec_pragma,0.9247149229049684,2e-06,2e-06,6.5e-06,1.0,3.25,1.0,3.24887556221889
